,Plant,0:00:00,0:30:00,1:00:00,1:30:00,2:00:00,2:30:00,3:00:00,3:30:00,System_Initialize,4:30:00,5:00:00,5:30:00,6:00:00,6:30:00,7:00:00,7:30:00,8:00:00,8:30:00,9:00:00,9:30:00,10:00:00,10:30:00,11:00:00,11:30:00,Lunch_Break,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,16:00:00,16:30:00,17:00:00,17:30:00,18:00:00,18:30:00,19:00:00,19:30:00,20:00:00,20:30:00,21:00:00,21:30:00,22:00:00,22:30:00,23:00:00,23:30:00,Date
257,Uthuru_Janani,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,7/24/2020
371,Uthuru_Janani,20,20,4,4,0,0,0,0,20,20,20,20,20,20,20,20,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,20,20,20,20,20,20,20,20,20,20,20,20,20,4,7/15/2020
385,Uthuru_Janani,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,20,20,20,20,20,20,20,20,20,20,20,20,20,11.077,7/16/2020
392,Uthuru_Janani,20,20,4,4,0,0,0,0,0,0,20,20,20,20,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,20,20,20,20,20,20,20,20,20,20,20,20,7/11/2020
406,Uthuru_Janani,20,20,20,20,20,20,20,20,20,19.069,20,20,20,20,20,20,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,20,20,20,20,20,20,20,20,20,20,20,20,20,20,7/14/2020
432,Uthuru_Janani,20,20,20,20,0,0,0,0,0,0,0,20,20,20,20,9.2151,20,20,15.794,20,9.8575,10.208,20,15.841,20,4,4,8.4075,13.908,8.2575,17.358,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,7/26/2020
519,Uthuru_Janani,20,5.0628,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,7/27/2020
572,Uthuru_Janani,0,0,0,0,0,0,0,0,0,14.533,20,20,20,20,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,20,20,20,20,20,20,20,20,20,20,20,0,2020 - 07 - 7.
584,Uthuru_Janani,0,0,0,0,0,0,0,0,0,0,0,15.995,15.995,15.995,4,4,4,4,4,4,4,4,13.333,13.333,13.333,13.333,13.333,4,4,4,10.007,10.007,10.007,10.007,10.007,10.007,10.007,10.007,10.007,10.007,10.007,10.007,4,4,4,4,4,4,2020 - 07 - 4.
588,Uthuru_Janani,4,4,4,0,0,0,0,4,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,7.0332,7.0332,7/28/2020
597,Uthuru_Janani,20,4,4,4,0,0,0,0,0,16.548,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,7/23/2020
623,Uthuru_Janani,20,4,4,4,0,0,0,0,0,20,20,20,20,20,20,20,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,20,20,20,20,20,20,20,20,20,20,20,20,20,4,7/13/2020
